period,planet_radius,depth,equilibrium_temp,insolation,impact,duration,star_radius,star_mass,star_teff,kepmag,label,source
190.3200468,7.78,1141.7,426.0,7.8,0.812,15.284,2.057,1.247,5626.0,12.654,CONFIRMED,KOI
2.861159894,4.37,1014.3,1355.0,797.1,0.965,1.8832,1.021,1.09,6126.0,15.618,FALSE POSITIVE,KOI
26.44439337,3.91,1843.5,562.0,23.54,0.03,3.9783,0.929,0.915,5427.0,15.158,CONFIRMED,KOI
51.53997972,5.51,3644.3,450.0,9.67,0.183,6.3994,0.929,0.915,5427.0,15.158,CONFIRMED,KOI
5.902245782,2.43,702.3,926.0,173.74,0.209,2.9003,0.929,0.915,5427.0,15.158,CONFIRMED,KOI
2.382951591,1.86,391.6,1253.0,583.01,0.479,1.8876,0.929,0.915,5427.0,15.158,CONFIRMED,KOI
21.02250608,3.07,1772.5,521.0,17.48,0.036,4.1072,0.75,0.789,5067.0,15.859,CONFIRMED,KOI
3.219814777,1.69,488.2,998.0,234.93,0.06,2.0642,0.787,0.823,5103.0,15.599,CONFIRMED,KOI
5.912273234,1.73,961.4,585.0,27.72,0.17,2.3254,0.57,0.586,4072.0,15.036,CONFIRMED,KOI
8.98581901,1.65,881.3,509.0,15.9,0.008,2.8606,0.57,0.586,4072.0,15.036,CONFIRMED,KOI
12.940668656,22.94,42450.0,723.0,64.64,0.897,2.4845,0.809,0.895,5875.0,15.215,CANDIDATE,KOI
20.5452375,2.41,218.5,742.0,71.57,0.95,2.517,1.264,0.937,5670.0,12.003,FALSE POSITIVE,KOI
33.60123371,8.46,7425.9,495.0,14.22,0.67,4.4056,0.93,0.882,5149.0,15.262,CONFIRMED,KOI
6.76652928,1.97,450.7,845.0,120.48,0.429,2.9004,0.93,0.882,5149.0,15.262,CONFIRMED,KOI
4.347288783,2.36,451.6,1174.0,449.79,0.025,2.1024,1.122,1.014,5754.0,15.024,CONFIRMED,KOI
4.601811819,2.35,755.9,896.0,152.91,0.567,2.2607,0.833,0.793,4986.0,15.024,CONFIRMED,KOI
11.18719905,1.55,353.6,667.0,46.65,0.387,3.252,0.833,0.793,4986.0,15.024,CONFIRMED,KOI
4.220965778,2.62,2260.0,595.0,29.68,0.705,3.0854,0.517,0.544,3837.0,15.692,CONFIRMED,KOI
6.998099523,588.66,20285.0,853.0,125.22,7.361,2.0488,0.829,0.926,5612.0,15.877,FALSE POSITIVE,KOI
5.95489993,2.33,1410.7,635.0,38.52,0.327,2.3892,0.633,0.64,4261.0,15.019,CONFIRMED,KOI
12.03987488,2.18,1250.6,502.0,15.06,0.286,2.7363,0.633,0.64,4261.0,15.019,CONFIRMED,KOI
20.83762895,1.42,439.0,418.0,7.24,0.706,2.3734,0.633,0.64,4261.0,15.019,CONFIRMED,KOI
8.8111022,63.66,401.1,1399.0,904.92,1.223,5.0683,2.404,1.333,6200.0,12.759,FALSE POSITIVE,KOI
23.58917143,3.16,1200.7,487.0,13.34,0.926,5.073,0.721,0.697,4919.0,15.316,CONFIRMED,KOI
6.481633073,2.54,298.5,1145.0,406.25,0.833,3.784,1.302,1.009,5945.0,12.365,CONFIRMED,KOI
10.37168928,3.2,1254.9,720.0,63.68,0.537,3.035,0.888,0.822,5121.0,15.193,CONFIRMED,KOI
3.96996298,1.78,299.2,992.0,229.37,0.836,1.1757,0.888,0.822,5121.0,15.193,CONFIRMED,KOI
4.40841331,2.66,549.4,1139.0,398.0,0.899,5.012,0.961,0.968,6007.0,15.662,CONFIRMED,KOI
7.9426176,4.68,1590.7,878.0,140.57,0.942,6.703,0.926,1.036,5811.0,15.26,FALSE POSITIVE,KOI
226.8904775,4.53,3136.4,236.0,0.73,0.731,7.558,0.75,0.789,5067.0,15.859,CONFIRMED,KOI
1.956811408,21.58,24905.0,1109.0,357.16,1.091,2.1958,0.603,0.602,5209.0,15.533,FALSE POSITIVE,KOI
2.688899233,12.04,37492.0,929.0,175.76,0.001,2.11275,0.639,0.699,4820.0,15.766,CANDIDATE,KOI
9.439459486,4.16,3036.1,686.0,52.32,0.049,2.8979,0.779,0.891,5097.0,15.067,CONFIRMED,KOI
11.523067458,3.13,507.3,927.0,174.81,0.0,3.8757,1.411,1.053,5644.0,12.346,CONFIRMED,KOI
20.47748843,2.92,1382.4,530.0,18.65,0.497,2.8364,0.779,0.891,5097.0,15.067,CONFIRMED,KOI
3.336123113,1.74,516.3,970.0,209.79,0.252,1.9616,0.779,0.891,5097.0,15.067,CONFIRMED,KOI
8.01078456,1.72,1333.6,453.0,9.9,0.192,2.312,0.47,0.484,3713.0,15.847,CONFIRMED,KOI
12.07134205,1.29,759.2,395.0,5.74,0.014,4.3224,0.47,0.484,3713.0,15.847,CONFIRMED,KOI
20.99587872,1.3,767.3,328.0,2.74,0.228,2.6333,0.47,0.484,3713.0,15.847,CONFIRMED,KOI
7.41113177,2.45,620.5,905.0,158.11,0.712,2.5242,0.919,1.014,5849.0,15.031,CONFIRMED,KOI
